PN1;1;12;5890000.0;7.068E7
PN1;2;10;1.099E7;1.099E8
PN2;2;10;1.099E7;1.099E8
PN3;3;15;4390000.0;6.585E7
PN3;4;35;5990000.0;2.0965E8
PN4;5;10;380000.0;3800000.0
PN4;6;10;550000.0;5500000.0
PN4;7;8;680000.0;5440000.0
PN5;8;1;650000.0;650000.0
PN5;9;12;3290000.0;3.948E7
PN5;10;25;4990000.0;1.2475E8
PN5;11;6;1.999E7;1.1994E8
PN6;12;9;3.429E7;3.0861E8
PN6;13;3;2.869E7;8.607E7
PN6;14;4;1.979E7;7.916E7
PN6;15;7;1.729E7;1.2103E8
PN7;16;6;1.159E7;6.954E7
PN7;17;15;8990000.0;1.3485E8
PN7;18;8;2.999E7;2.3992E8
PN7;19;3;4.199E7;1.2597E8
PN7;20;24;2890000.0;6.936E7
PN8;14;15;1.979E7;2.9685E8
PN8;1;15;5890000.0;8.835E7
PN8;4;12;5990000.0;7.188E7
PN9;7;25;680000.0;1.7E7
PN9;8;15;650000.0;9750000.0
PN9;19;25;4.199E7;1.04975E9
PN10;16;25;1.159E7;2.8975E8
PN10;14;45;1.979E7;8.9055E8
PN10;3;30;4390000.0;1.317E8
PN10;11;5;1.999E7;9.995E7
